Tract_1,CIscore,Shape__Area,Shape__Length
6037406701,9,1370737.85546875,5012.832183188
6037408141,10,1638360.28515625,6318.80017837192
6037408140,13,1338012,4955.41177240473
6037408005,8,5383485.6796875,9771.91784177884
6037407802,8,4571506.04296875,11502.4820785105
6037183103,15,950863.6640625,7251.41764892425
6037127805,12,900419.265625,4865.35430942695
6037127605,13,950292.77734375,3899.34294725005
6037125401,18,582637.47265625,3729.11353527463
6037122122,15,1514931.5,5653.30718536817
6037120105,12,804881.05078125,5806.2132811681
6037115103,9,2254153.9375,8235.30772349783
6037113235,7,2108768.01171875,10640.4176287655
6037320202,10,2368206.5,6834.69629944942
6037980025,0,4289682.11328125,11064.4055466191
6037980024,11,12135145.5507813,17052.3863067113
6037980023,0,7650102.55078125,14667.9323679249
6037980022,0,9222918.2265625,14994.4305510837
6037980021,0,10198277.21875,18934.2174637287
6037980020,0,12511177.7226563,22293.3482444131
6037407801,12,1561343.328125,4795.25862848245
6037407602,10,1364560.95703125,4960.03078390958
6037407601,13,1145054.53515625,4308.57354851938
6037407502,10,1498670.80078125,5791.34154519634
6037407501,11,1654494.03515625,6262.82140315842
6037406902,12,1465675.08984375,5802.747612075
6037406901,14,1397171.91796875,5972.78518364144
6037701402,10,1117513.0390625,4671.36810562906
6037320201,13,1350797.3515625,6062.76533659712
6037310602,10,1305450.85546875,5130.83441030162
6037310601,13,1508794.9453125,6919.5260276146
6037310501,14,2883759.8515625,9203.10649861245
6037310202,8,1340987.44140625,5025.07291346945
6037310201,8,1611841.26171875,5142.16540838589
6037302504,16,552273.87109375,4215.55391261946
6037302503,16,480392.59765625,3669.38662225385
6037302401,19,1996010.0078125,6635.42571981577
6037980015,9,7975463.8046875,13043.6286438987
6037430902,13,1716917.125,6248.44214904069
6037430901,13,1710139.5234375,5493.27625652371
6037408724,12,780200.1484375,3724.1845075936
6037408723,9,1171421.33203125,5808.06324302079
6037408630,13,991429.12109375,4648.42504856272
6037408139,11,1148623.5,4807.4735941682
6037408138,10,1295299.515625,5841.61649704132
6037701304,5,2982412.36328125,7818.99978794168
6037700802,10,1004822.51171875,5555.77233600024
6037700801,11,2115142.796875,7392.83768788308
6037700502,13,732913.5625,3977.07658034889
6037700501,10,867675.5,5547.24882106755
6037700101,15,985503.38671875,5009.13713711544
6037670602,5,20680162.234375,34726.2214098058
6037670416,4,5668567.12890625,10802.7561998924
6037302004,15,497058.7109375,2844.55002843463
6037302003,15,345623.03125,2440.63201030841
6037301802,15,698308.66796875,3480.76395404246
6037301801,17,1066274.9375,4105.41799713496
6037503106,13,1342729.03515625,5337.43136512165
6037503105,10,1620438.203125,6176.41319781318
6037503103,9,1581157.0546875,5694.02796942747
6037502801,11,3208479.8125,7303.0529353109
6037502005,10,1546556.19921875,6005.86146076878
6037502004,11,1951185.484375,6459.66401387648
6037408137,9,1203882.9296875,5244.86649834191
6037408136,8,1479142.04296875,6257.22516803758
6037408006,11,4841818.8671875,9268.34033306914
6037408004,13,834709.26171875,4712.23915711506
6037404503,10,962626.00390625,3940.14002686728
6037402406,12,1707456.8203125,5283.16620669907
6037670328,4,5678378.6796875,12817.7079712423
6037670326,4,6277711.39453125,14421.0876168227
6037670324,5,7037934.5625,16947.7840890146
6037651402,9,2651215.55078125,8686.50989369831
6037651401,5,1463764.94140625,5747.76557436868
6037651304,4,2177595.8671875,8274.21315973013
6037552002,17,1028587.14453125,4252.58482275797
6037552001,13,1168381.4296875,4553.60307276682
6037502003,12,937272.3125,3924.38953085828
6037501804,17,771450.75,4101.03783741057
6037501803,18,859771.59765625,4091.81159977986
6037108201,6,4125612.01171875,11190.1433997496
6037104822,14,894447.33984375,5103.55515785615
6037104403,14,1018219.56640625,5932.96214796969
6037278001,10,2355012.5703125,9303.36923366985
6037265202,11,839603.16015625,4244.62345296755
6037264102,6,573875.91796875,3764.77144027227
6037920118,4,4366094.453125,11492.8235413601
6037920114,5,4164685.03515625,13472.4223759086
6037900201,11,349084403.109375,85438.0330575538
6037800203,4,15206340.3359375,20784.4172292206
6037700102,18,715858.6015625,4990.52643959752
6037920337,10,2421242.69140625,8052.0043745911
6037551502,12,1605723.9921875,6756.32493811739
6037551501,11,2132142.23046875,6714.45990213173
6037551402,13,1693222.34765625,5125.29948118613
6037551401,11,1077290.8984375,4310.91247397886
6037551102,17,2453415.80859375,7590.30617902154
6037551101,17,2452622.32421875,8091.69579962092
6037550902,12,1417698.1875,5233.47408231274
6037550901,17,1626105.5625,5570.49257330983
6037262704,7,2675918.70703125,8670.54426847019
6037240401,16,1006775.43359375,4157.89958903386
6037237102,18,669929.51171875,3317.05766122133
6037211704,17,268609.24609375,2114.23099072995
6037211122,18,530483.6328125,3041.40432155906
6037207103,19,473750.078125,3540.06903674792
6037194101,8,3721469.5625,12335.0547843724
6037192001,15,775703.60546875,4272.6783633079
6037190202,18,310271.50390625,2431.63384423812
6037189903,15,123404.3203125,1527.08644484771
6037143604,14,822902.0703125,5064.41455700977
6037141101,11,1114207.67578125,4325.83598669695
6037534803,17,888170.37890625,5201.51107918168
6037533902,17,1114427.47265625,5316.70248372725
6037534802,14,588326.87109375,3216.66627977307
6037534406,13,567600.453125,3424.01124106455
6037534405,16,775838.0078125,3879.85244068896
6037533703,17,1241119.84375,5978.64704220173
6037533403,20,689894.39453125,4561.98444080795
6037533402,18,710958.24609375,3605.85185487739
6037533300,18,506911.22265625,3134.15247128705
6037310100,5,19345868.3671875,21229.2137982947
6037113422,8,2243262.61328125,6700.52731024277
6037503602,7,4798982.06640625,9411.41502352756
6037502302,18,1094293.61328125,5166.77626082265
6037502700,13,10157846.90625,16317.5324794064
6037502402,12,1279387.171875,4726.26598424461
6037543321,10,7090594.13671875,11004.3136956269
6037541500,15,1182883.78125,4746.59634905495
6037550300,12,3688624.2578125,8157.87151756239
6037542401,12,1878610.796875,5783.42051680055
6037543702,10,1901434.71875,5539.24821448288
6037541100,13,1806428.875,5643.996504992
6037405500,11,2706231.578125,7390.46685436755
6037405101,9,1640868.4296875,5437.63699956457
6037206020,16,1272134.609375,4422.26130901353
6037206010,19,2101193.8359375,7741.36372522814
6037207710,17,1600719.37109375,6336.76083759961
6037207400,19,1278454.7265625,5586.28996832799
6037206300,19,902989.328125,4849.41417042137
6037208000,19,1411314.30859375,5245.33547536038
6037208610,19,515161.1796875,3045.19648979658
6037208620,18,476027.72265625,3020.62040798282
6037208710,18,246121.71875,2078.83149952773
6037208902,20,268922.42578125,2084.11314161757
6037602600,14,2832890.94140625,7776.64278959877
6037219800,17,649419.8359375,3586.91972029619
6037219010,13,644662.94140625,3450.94727574018
6037218900,15,1025815.55078125,4233.55607572606
6037220100,13,1431072.07421875,6239.00247064254
6037219700,15,1592255.8828125,6106.81984405207
6037221220,18,962433.13671875,3876.48506496829
6037219020,15,1052937.87890625,4134.47500130149
6037221110,17,342217.578125,2549.05030678509
6037221120,19,463588.3671875,2770.20573123792
6037221302,20,677425.84765625,3746.2552631614
6037221500,17,555690.125,3085.24875280758
6037221900,19,602223.99609375,3908.28515742781
6037221820,15,298388.14453125,2149.66263367514
6037221810,18,443977.0625,2751.66257664662
6037222100,15,696402.1015625,3857.07270372933
6037222200,16,704384.6484375,3873.95541721753
6037222600,16,949346.72265625,3897.60839577196
6037536103,16,1715131.67578125,6001.37982739785
6037533002,17,709473.1640625,3408.41112746325
6037480304,14,634927.46484375,3315.09936801189
6037125501,13,679842.60546875,3402.30577287888
6037125402,15,1014436.828125,4087.73698032403
6037123901,15,1893648.328125,5542.89469981384
6037121802,12,1393304.87890625,5502.65235263211
6037121801,12,712019.625,3897.21687392411
6037119202,10,1422203.5703125,6221.97337211614
6037119201,8,1395618.5078125,4779.19371611137
6037119002,13,2486356.5390625,7951.12997112249
6037119001,9,1575029.27734375,5134.53401496644
6037117202,9,2664781.6796875,6680.14247948068
6037115404,10,1400819.828125,4802.84598605576
6037115403,12,1031488.78125,4101.74721886915
6037900803,10,3937136.9921875,7925.28627454339
6037900805,10,3904036.55078125,7902.76984286818
6037901007,8,7733760.23046875,11711.580641384
6037901101,9,7727843.09375,11842.4221002319
6037900501,11,4623288.2265625,8637.27142264394
6037901004,8,19405355.328125,19688.4714275684
6037901102,9,7570770.375,11667.6773428924
